component_id,display_name,zone,typical_in_home,work_type_default,repair_low,repair_high,replace_low,replace_high,repairable,creditable,recoup_pct,recoup_source,safety_eligible,lender_eligible,essential_when_needed,floor_trigger,notes
ROOF-01,Roof (asphalt shingle),Exterior,always,major,400,1500,8000,16000,True,True,56.5,CvV-2024-SA,False,True,False,active leaks or end-of-life,"Lender-eligible when leaking/EOL. New roof is a strong positive, not a cost."
FND-01,Foundation / crawlspace / basement,Exterior,always,major,3000,5000,8000,15000,True,False,100,estimate,True,True,True,"active water, standing moisture, or structural movement",Repair=vapor barrier/drainage; replace=encapsulation. Active water can block FHA/VA.
SID-01,Siding (vinyl),Exterior,common,major,300,1500,8000,16000,True,True,80.8,CvV-2024-SA,False,False,False,none (discretionary unless damaged),Recoup approx vinyl siding band.
GUT-01,Gutters / downspouts / drainage,Exterior,common,minor,100,400,800,2000,True,True,70,estimate,False,True,False,drainage causing water intrusion,Lender flag only if drainage actively causing water intrusion into structure.
WIN-01,Windows (general),Exterior,always,major,150,600,600,15000,True,True,61,CvV-anchored,False,False,False,cracked pane in safety-glazing location only,Reglaze a pane vs replace units. CvV vinyl window 61%. Safety only in stairwells/wet areas.
SCR-01,Window screens,Exterior,common,minor,100,200,400,1200,True,True,55,estimate,False,False,False,none (discretionary),Re-screen existing frames is the value play.
DECK-01,Deck,Exterior,common,major,1500,3500,6000,16000,True,True,82.4,CvV-anchored,True,True,False,"structural hazard: open risers, loose railing, rot",CvV wood deck 82.4%. Safety/lender ONLY when structurally hazardous.
PRCH-01,Front porch / steps / railings,Exterior,common,minor,200,800,1500,5000,True,False,90,estimate,True,False,False,"missing/loose handrail, open risers, deteriorated tread",Handrail/riser hazards are safety-eligible. Shared staircase dedup with DECK-01 in v1.
DRV-01,Driveway,Exterior,common,major,100,500,4000,10000,True,True,30,estimate,False,False,False,none (cosmetic cracks: seal only),Minor cracks are discretionary; full repour rarely worth it.
XDR-01,Exterior doors / entry,Exterior,always,minor,100,300,1000,3000,True,True,153.2,CvV-anchored,False,False,False,none unless non-securing,CvV steel entry door 153.2%. Repair if sound; replace if dated.
XLT-01,Exterior lighting,Exterior,common,minor,50,100,100,300,True,True,60,estimate,False,False,False,none (loose fixture: secure discretionary),Minor. Not a Floor item.
LAND-01,Landscaping / yard,Exterior,always,minor,100,500,500,1500,True,False,80,estimate,False,False,False,none (discretionary),Basic cleanup; do not over-invest.
PWASH-01,Pressure wash (service),Exterior,common,clean,200,400,200,400,False,False,150,estimate,False,False,False,none (discretionary high curb ROI),Best curb-appeal dollar.
ACCT-01,Decorative accents / shutters,Exterior,sometimes,minor,100,500,100,500,True,True,90,estimate,False,False,False,none (discretionary),Curb cosmetic.
MBOX-01,Mailbox,Exterior,common,minor,80,150,80,150,False,True,60,estimate,False,False,False,none (discretionary),Cheap curb item.
BELL-01,Doorbell,Exterior,common,minor,80,125,100,125,True,True,50,estimate,False,False,False,none (discretionary),Cheap either way.
